SSBSECT_SUBJ_CODE,SSBSECT_CRSE_NUMB,SSBSECT_TERM_CODE,SSBSECT_CRN,SSRATTR_TERM_CODE,SSRATTR_CRN,SSRATTR_ATTR_CODE,SSRATTR_ACTIVITY_DATE
EDU,260,202110,10588,202110,10588,CC,2020/03/30
EDU,260,202110,10588,202110,10588,MOIE,2020/03/30
EDU,283,202110,10069,202110,10069,MOIB,2020/01/30
ENG,107,202110,10282,202110,10282,A4,2020/02/18
ENG,107,202110,10282,202110,10282,CC,2020/02/18
ENG,107,202110,10282,202110,10282,MOIB,2020/02/18
ENG,110,202110,10003,202110,10003,A3,2020/01/16
ENG,110,202110,10003,202110,10003,MOIC,2020/01/16
ENG,110,202110,10003,202110,10003,MOIE,2020/01/16
ENG,119,202110,10285,202110,10285,A4,2020/02/18
ENG,119,202110,10285,202110,10285,CC,2020/02/18
ENG,119,202110,10285,202110,10285,MOIB,2020/02/18
ENG,119,202110,10285,202110,10285,W,2020/02/18
ENG,122,202110,10286,202110,10286,CC,2020/02/18
ENG,122,202110,10286,202110,10286,MOIB,2020/02/18
ENG,150,202110,10281,202110,10281,W,2020/02/17
ENG,150,202110,10287,202110,10287,W,2020/02/18
ENG,240,202110,10289,202110,10289,A5,2020/02/18
ENG,240,202110,10289,202110,10289,MOIA,2020/02/18
ENG,240,202110,10289,202110,10289,W,2020/02/18
ENG,250,202110,10290,202110,10290,A4,2020/02/18
ENG,250,202110,10290,202110,10290,MOIB,2020/02/18
ENG,250,202110,10290,202110,10290,W,2020/02/18
ENG,250,202110,10291,202110,10291,A4,2020/02/18
ENG,250,202110,10291,202110,10291,MOIB,2020/02/18
ENG,250,202110,10291,202110,10291,W,2020/02/18
ENG,253,202110,10115,202110,10115,A4,2020/02/07
ENG,253,202110,10115,202110,10115,MOIB,2020/02/07
ENG,253,202110,10115,202110,10115,MOIE,2020/02/07
ENG,253,202110,10115,202110,10115,W,2020/02/07
ENG,301,202110,10292,202110,10292,MOIB,2020/02/18
ENG,301,202110,10292,202110,10292,W,2020/02/18
ENG,319,202110,10600,202110,10600,MOIB,2020/06/11
ENG,319,202110,10600,202110,10600,MOIE,2020/06/11
ENG,322,202110,10294,202110,10294,W,2020/02/18
ENG,333,202110,10296,202110,10296,MOIB,2020/02/18
ENG,333,202110,10296,202110,10296,W,2020/02/18
ENG,340,202110,10298,202110,10298,MOIA,2020/02/18
ENG,340,202110,10298,202110,10298,W,2020/02/18
ENG,368,202110,10299,202110,10299,MOIB,2020/02/18
ENG,368,202110,10299,202110,10299,W,2020/02/18
ENG,379,202110,10581,202110,10581,MOIB,2020/03/30
ENG,379,202110,10581,202110,10581,MOIE,2020/03/30
ENG,379,202110,10581,202110,10581,W,2020/03/30
ENG,381,202110,10596,202110,10596,MOIB,2020/05/08
ENG,381,202110,10596,202110,10596,MOIE,2020/05/08
ENG,381,202110,10596,202110,10596,W,2020/05/08
ENG,493G,202110,10303,202110,10303,MOIB,2020/02/18
ENG,493G,202110,10303,202110,10303,W,2020/02/18
ES,110,202110,10445,202110,10445,MOID,2020/06/30
ES,111,202110,10446,202110,10446,MOIE,2020/02/28
ES,117,202110,10305,202110,10305,A3,2020/02/18
ES,117,202110,10305,202110,10305,CC,2020/02/18
ES,117,202110,10305,202110,10305,MOIE,2020/02/18
ES,204,202110,10447,202110,10447,ASPA,2020/02/28
ES,204,202110,10447,202110,10447,MOIE,2020/02/28
ES,204,202110,10447,202110,10447,W,2020/03/30
ES,204,202110,10447,202110,10447,WLC,2020/02/28
ES,210,202110,10449,202110,10449,MOIC,2020/02/28
ES,210,202110,10449,202110,10449,MOID,2020/02/28
ES,214,202110,10451,202110,10451,A1,2020/03/02
ES,214,202110,10451,202110,10451,MOIC,2020/03/02
ES,214,202110,10451,202110,10451,W,2020/03/02
ES,224,202110,10235,202110,10235,MOIE,2020/02/14
ES,228,202110,10453,202110,10453,A6,2020/03/02
ES,228,202110,10453,202110,10453,MOIB,2020/03/02
ES,228,202110,10453,202110,10453,MOIE,2020/03/02
ES,228,202110,10453,202110,10453,W,2020/03/02
ES,232,202110,10019,202110,10019,MOIE,2020/01/17
ES,234,202110,10312,202110,10312,A3,2020/02/18
ES,234,202110,10312,202110,10312,MOIB,2020/02/18
ES,234,202110,10312,202110,10312,MOIE,2020/02/18
ES,234,202110,10312,202110,10312,W,2020/02/18
ES,261,202110,10545,202110,10545,A4,2020/03/16
ES,261,202110,10545,202110,10545,MOIE,2020/03/16
ES,298,202110,10455,202110,10455,CC,2020/03/30
ES,298,202110,10455,202110,10455,MOIB,2020/03/30
ES,298,202110,10455,202110,10455,MOIE,2020/03/30
ES,298,202110,10455,202110,10455,SDP,2020/03/30
ES,298,202110,10455,202110,10455,W,2020/03/30
ES,313,202110,10460,202110,10460,MOIC,2020/03/02
ES,368,202110,10300,202110,10300,MOIB,2020/02/18
ES,368,202110,10300,202110,10300,W,2020/02/18
ES,393,202110,10279,202110,10279,MOIB,2020/06/19
ES,393,202110,10279,202110,10279,MOIE,2020/06/19
ES,493N,202110,10314,202110,10314,ADVS,2020/02/18
ES,493N,202110,10314,202110,10314,FREE,2020/02/18
ES,493N,202110,10314,202110,10314,W,2020/02/18
ES,493U,202110,10463,202110,10463,ADVS,2020/03/02
ES,493U,202110,10463,202110,10463,FREE,2020/03/02
ES,493U,202110,10463,202110,10463,MOIE,2020/03/02
FLM,101,202110,10480,202110,10480,A4,2020/03/03
FLM,101,202110,10480,202110,10480,MOIB,2020/03/03
FLM,101,202110,10480,202110,10480,W,2020/03/03
FLM,101,202110,10481,202110,10481,A4,2020/03/03
FLM,101,202110,10481,202110,10481,MOIB,2020/03/03
FLM,101,202110,10481,202110,10481,W,2020/03/03
FLM,202,202110,10482,202110,10482,MOIB,2020/03/03
FLM,202,202110,10482,202110,10482,W,2020/03/03
FLM,209,202110,10490,202110,10490,A4,2020/03/03
FLM,209,202110,10490,202110,10490,MOIB,2020/03/03
FLM,209,202110,10490,202110,10490,W,2020/03/03
FLM,210,202110,10484,202110,10484,A5,2020/03/03
FLM,210,202110,10484,202110,10484,MOIA,2020/03/03
FLM,210,202110,10484,202110,10484,W,2020/03/03
FLM,220,202110,10488,202110,10488,A5,2020/03/03
FLM,220,202110,10488,202110,10488,MOIA,2020/03/03
FLM,220,202110,10488,202110,10488,MOIE,2020/03/03
FLM,238,202110,10486,202110,10486,MOIA,2020/03/03
FLM,238,202110,10486,202110,10486,W,2020/03/03
FLM,310,202110,10487,202110,10487,MOIA,2020/03/03
FLM,310,202110,10487,202110,10487,MOIB,2020/03/03
FLM,310,202110,10487,202110,10487,W,2020/03/03
FLM,416,202110,10594,202110,10594,MOIB,2020/04/14
FRH,102,202110,10318,202110,10318,AFRH,2020/02/20
FRH,102,202110,10318,202110,10318,EFRH,2020/02/20
FRH,102,202110,10318,202110,10318,WLC,2020/02/20
FRH,102,202110,10321,202110,10321,AFRH,2020/02/20
FRH,102,202110,10321,202110,10321,EFRH,2020/02/20
FRH,102,202110,10321,202110,10321,WLC,2020/02/20
FRH,201,202110,10323,202110,10323,AFRH,2020/02/20
FRH,201,202110,10323,202110,10323,INFL,2020/02/20
FRH,201,202110,10323,202110,10323,W,2020/02/20
FRH,201,202110,10323,202110,10323,WLC,2020/02/20
FRH,202,202110,10324,202110,10324,AFRH,2020/02/20
FRH,202,202110,10324,202110,10324,INFL,2020/02/20
FRH,202,202110,10324,202110,10324,WLC,2020/02/20
FRH,256,202110,10509,202110,10509,A3,2020/03/04
FRH,256,202110,10509,202110,10509,MOIE,2020/03/04
FRH,256,202110,10509,202110,10509,W,2020/03/04
FRH,301,202110,10325,202110,10325,AFRH,2020/02/20
FRH,301,202110,10325,202110,10325,INFL,2020/02/20
FRH,301,202110,10325,202110,10325,W,2020/02/20
FRH,301,202110,10325,202110,10325,WLC,2020/02/20
FRH,309F,202110,10326,202110,10326,FLAC,2020/02/20
FRH,312,202110,10328,202110,10328,AFRH,2020/08/11
FRH,312,202110,10328,202110,10328,MOIB,2020/02/20
FRH,312,202110,10328,202110,10328,MOIE,2020/02/20
FRH,312,202110,10328,202110,10328,WLC,2020/02/20
FRH,327,202110,10327,202110,10327,A4,2020/02/20
FRH,327,202110,10327,202110,10327,AFRH,2020/02/20
FRH,327,202110,10327,202110,10327,INFL,2020/02/20
FRH,327,202110,10327,202110,10327,MOIB,2020/02/20
FRH,327,202110,10327,202110,10327,W,2020/02/20
FRH,327,202110,10327,202110,10327,WLC,2020/02/20
FRH,414,202110,10329,202110,10329,W,2020/02/20
GEO,210,202110,10450,202110,10450,MOIC,2020/03/02
GEO,210,202110,10450,202110,10450,MOID,2020/03/02
GEO,214,202110,10452,202110,10452,MOIC,2020/03/02
GEO,214,202110,10452,202110,10452,W,2020/07/06
GEO,313,202110,10461,202110,10461,MOIC,2020/03/02
GER,102,202110,10541,202110,10541,AGER,2020/03/16
GER,102,202110,10541,202110,10541,EGER,2020/03/16
GER,102,202110,10541,202110,10541,WLC,2020/03/16
GER,102,202110,10542,202110,10542,AGER,2020/03/16
GER,102,202110,10542,202110,10542,EGER,2020/03/16
GER,102,202110,10542,202110,10542,WLC,2020/03/16
GER,110,202110,10004,202110,10004,A3,2020/01/16
GER,110,202110,10004,202110,10004,MOIC,2020/01/16
GER,110,202110,10004,202110,10004,MOIE,2020/01/16
GER,202,202110,10543,202110,10543,A4,2020/03/16
GER,202,202110,10543,202110,10543,AGER,2020/03/16
GER,202,202110,10543,202110,10543,INFL,2020/03/16
GER,202,202110,10543,202110,10543,WLC,2020/03/16
GER,261,202110,10544,202110,10544,A4,2020/03/16
GER,261,202110,10544,202110,10544,MOIE,2020/03/16
GER,261F,202110,10570,202110,10570,FLAC,2020/03/18
GER,262,202110,10547,202110,10547,A4,2020/03/16
GER,262,202110,10547,202110,10547,MOIE,2020/03/16
GER,450,202110,10546,202110,10546,AGER,2020/03/16
GER,450,202110,10546,202110,10546,INFL,2020/03/16
GER,450,202110,10546,202110,10546,WLC,2020/03/16
GIS,102,202110,10550,202110,10550,W,2020/03/16
GIS,102F,202110,10571,202110,10571,FLAC,2020/03/26
GIS,102H,202110,10583,202110,10583,FLAC,2020/03/26
GIS,107,202110,10283,202110,10283,A4,2020/02/18
GIS,107,202110,10283,202110,10283,CC,2020/02/18
GIS,107,202110,10283,202110,10283,MOIB,2020/02/18
GIS,201,202110,10553,202110,10553,MOIB,2020/03/16
